sentence_id,df_index,sari,bertscore_precision,bertscore_recall,bertscore_f1,fre,lix,compression_ratio,novelty,dis_ori_pred,dis_ori_ref,dis_pred_ref,score_dpo
74,3487,45.228611,75.703394,76.663101,76.180226,93.899952,21.338908,61.621622,61.290323,0.999568,0.999058,0.999487,72.425198
75,3488,35.875962,70.491588,69.276416,69.878721,88.2495,32.015789,54.032258,58.333333,0.019794,0.978221,0.221489,43.077949
75,3489,50.988731,73.556447,72.482538,73.015547,94.329185,23.141304,62.903226,40.0,0.999777,0.978221,0.978722,71.675693
75,3490,40.810791,71.309096,68.462223,69.856668,92.989,33.142857,59.677419,45.0,0.999836,0.978221,0.979078,68.653626
75,3491,46.546662,73.786318,72.673416,73.225641,87.51,30.873016,63.709677,30.0,0.999715,0.978221,0.978349,69.707227
76,3492,48.382719,75.653362,76.256329,75.95365,90.571429,17.857143,58.083832,53.846154,0.85292,0.160272,0.641374,68.439513
76,3493,42.377497,77.153182,76.301485,76.72497,97.005668,13.156545,65.868263,52.173913,0.778056,0.160272,0.515726,66.54755
76,3494,41.358763,74.346662,71.969283,73.13866,98.383357,17.411111,62.275449,70.833333,0.139798,0.160272,0.137921,50.205928
76,3495,41.652102,76.772124,74.946868,75.848514,95.273199,16.789272,65.269461,63.636364,0.203536,0.160272,0.600835,52.148187
77,3496,36.354899,74.304873,70.117372,72.150415,81.103947,29.112782,80.612245,63.636364,0.735965,0.704169,0.129206,62.650206
77,3497,35.487419,73.43021,68.799692,71.039575,82.284533,38.54065,79.081633,56.25,0.801806,0.704169,0.248508,63.464626
77,3498,38.369228,75.007951,71.396691,73.157775,76.651316,31.744361,80.612245,46.153846,0.738807,0.704169,0.127212,62.103687
77,3499,36.832265,74.672168,69.223744,71.84481,80.0675,35.055556,81.632653,64.285714,0.802408,0.704169,0.280692,64.30339
78,3500,46.651832,79.708803,80.014729,79.861474,92.688,19.383333,62.5,45.454545,0.972931,0.303568,0.33052,72.278671
78,3501,45.758337,78.996116,79.599798,79.296803,94.180077,20.584615,59.375,39.130435,0.99831,0.303568,0.266325,72.241974
78,3502,48.228429,79.644847,80.45007,80.045438,90.088,19.0,60.9375,40.0,0.908792,0.303568,0.523331,70.435205
78,3503,43.637613,78.07014,79.66187,78.857976,91.3475,17.833333,64.84375,36.842105,0.998859,0.303568,0.301193,71.577041
79,3504,38.701866,76.966828,76.682204,76.824248,92.293756,25.230233,69.93007,36.842105,0.081946,0.230882,0.195135,47.404338
79,3505,36.794947,73.867089,73.776662,73.821843,93.2275,24.5,68.531469,38.888889,0.157733,0.230882,0.216441,48.142648
79,3506,37.818894,73.983812,75.71063,74.837255,90.089147,26.903525,65.734266,32.0,0.100773,0.230882,0.013762,46.431904
79,3507,37.399751,73.058701,74.562615,73.802996,89.605909,25.19697,66.433566,39.130435,0.117508,0.230882,0.088407,46.798865
80,3508,45.693437,79.597831,79.806167,79.701865,89.235189,23.979651,61.261261,31.578947,0.994291,0.965589,0.969419,71.472086
80,3509,45.37688,78.127509,78.061306,78.094387,94.200051,23.070707,60.36036,30.0,0.930199,0.965589,0.844446,69.696689
80,3510,46.288645,75.02892,76.633608,75.822777,97.152618,18.82549,54.054054,30.0,0.777586,0.965589,0.851804,65.363864
80,3511,44.022859,77.587748,75.117153,76.332462,93.80125,29.571429,71.171171,31.25,0.988739,0.965589,0.98077,70.927966
81,3512,64.491485,75.056767,76.330763,75.688404,105.660201,11.729885,64.197531,55.555556,0.918069,0.112562,0.362794,75.111281
81,3513,57.617852,73.120576,72.783589,72.951692,111.494684,4.833333,64.197531,40.0,0.95045,0.112562,0.260261,73.529748
81,3514,62.670742,72.405803,71.744174,72.073472,105.134167,15.611111,66.666667,60.0,0.572221,0.112562,0.365939,65.308777
81,3515,62.569086,73.621094,70.248669,71.895361,99.603224,15.276316,76.54321,50.0,0.884173,0.112562,0.316427,72.482134
82,3516,43.800033,75.414097,77.45899,76.422864,91.938462,26.371795,55.828221,60.714286,0.652237,0.512917,0.964622,63.016493
82,3517,43.982492,79.949051,79.529238,79.738599,94.816602,23.267347,69.93865,52.380952,0.846794,0.512917,0.867655,69.485669
82,3518,45.311859,81.236076,80.90322,81.069309,86.252147,27.68652,64.417178,52.0,0.220523,0.512917,0.711408,53.342385
82,3519,48.480632,77.752155,79.447883,78.590876,96.462492,15.617555,64.417178,66.666667,0.294505,0.512917,0.500531,56.838292
83,3520,40.954974,75.907028,73.445594,74.656034,90.81093,17.689342,59.166667,60.869565,0.633065,0.999165,0.607307,61.501382
83,3521,41.601193,77.209961,73.999977,75.570899,91.312619,16.571429,65.0,52.631579,0.037943,0.999165,0.025542,46.959726
83,3522,40.991995,77.360141,74.762928,76.039362,93.032972,18.188811,56.666667,60.869565,0.228437,0.999165,0.213365,51.905679
83,3523,44.585487,77.435195,75.791425,76.604497,93.498367,18.198087,49.166667,50.0,0.318708,0.999165,0.300883,54.176089
84,3524,50.277903,77.620673,76.433182,77.02235,63.016,33.0,70.930233,45.454545,0.924085,0.686717,0.808109,68.386166
84,3525,39.817639,74.835706,75.281936,75.058162,84.242446,21.295699,63.953488,42.857143,0.163125,0.686717,0.05862,48.323998
84,3526,48.444407,76.487434,76.706922,76.597023,80.0675,23.018519,68.604651,45.454545,0.734169,0.686717,0.010906,64.731943
84,3527,43.263003,76.567447,76.551074,76.559263,88.156753,25.522989,66.27907,46.153846,0.766451,0.686717,0.065057,65.218966
85,3528,55.11021,67.359918,66.287363,66.81934,94.222899,22.884058,67.605634,61.111111,0.999574,0.999917,0.999429,71.916188
85,3529,37.53762,68.546104,69.200301,68.871647,95.334444,20.115839,66.901408,33.333333,0.993363,0.999917,0.992831,67.548582
85,3530,39.450034,68.243402,69.325483,68.78019,83.02,36.50152,66.901408,45.0,0.038744,0.999917,0.031945,43.390589
85,3531,56.692672,68.816727,70.003915,69.40524,95.564394,25.515152,69.014085,62.5,0.999529,0.999917,0.999369,73.281502
86,3532,37.998171,70.878685,79.03986,74.737132,87.402195,25.369338,43.835616,37.5,0.675219,0.854297,0.203222,59.752674
86,3533,39.326135,70.6002,79.543215,74.805373,90.859545,24.467532,39.726027,43.75,0.530521,0.854297,0.026628,56.882878
86,3534,41.643909,74.085307,81.607759,77.664804,85.239511,32.41954,60.273973,46.153846,0.570906,0.854297,0.075207,59.782553
86,3535,37.748746,71.066761,76.958358,73.895317,92.988571,27.857143,52.054795,46.153846,0.514843,0.854297,0.008667,56.822152
87,3536,39.528541,76.12927,73.785901,74.939275,75.697479,28.854701,42.222222,47.058824,0.854362,0.943059,0.972181,63.783993
87,3537,56.232117,80.044103,79.498333,79.770285,76.659773,29.136364,38.888889,43.75,0.865286,0.943059,0.977334,68.607776
87,3538,53.908047,80.898225,82.307756,81.596899,82.831024,20.170904,34.444444,47.058824,0.895555,0.943059,0.983895,70.009033
87,3539,50.336138,79.442137,81.153667,80.288786,80.810584,21.162338,37.777778,47.368421,0.848809,0.943059,0.969721,67.714286
88,3540,47.639937,75.484288,74.476528,74.977022,80.104754,26.747073,45.045045,36.363636,0.952667,0.996243,0.929046,67.919367
88,3541,41.434555,73.510689,72.56012,73.032314,80.42,27.857143,50.45045,45.0,0.083665,0.996243,0.0158,45.103363
88,3542,40.261923,72.042584,70.987183,71.510988,80.148125,25.048077,41.441441,45.833333,0.074118,0.996243,0.005997,43.737973
88,3543,45.356591,75.735068,73.109847,74.39931,87.18375,21.564815,51.351351,52.631579,0.073855,0.996243,0.00572,47.159637
89,3544,47.928105,80.939686,79.241866,80.081785,84.677679,24.297619,43.243243,22.222222,0.999992,0.982007,0.981256,70.352789
89,3545,48.096804,80.500019,78.47234,79.473245,89.734318,23.681818,40.540541,40.0,0.999991,0.982007,0.98124,71.464164
89,3546,47.633067,78.869581,78.921759,78.895664,86.972663,23.141304,37.837838,22.222222,0.999988,0.982007,0.981123,69.89529
89,3547,48.087265,78.288221,78.177577,78.232867,91.47,22.666667,35.135135,40.0,0.999992,0.982007,0.981282,70.990885
90,3548,41.520669,75.484729,76.15689,75.819319,102.778333,14.166667,28.571429,26.666667,0.999992,0.999961,0.999984,69.089756
90,3549,41.520669,75.977755,76.388192,76.182419,102.778333,14.166667,28.571429,26.666667,0.999982,0.999961,0.999895,69.198269
90,3550,47.259648,78.026199,75.937569,76.967722,100.154182,18.721212,41.071429,28.571429,0.999969,0.999961,0.999999,71.041861
90,3551,40.916724,79.726899,75.387174,77.496326,110.513517,12.696552,48.214286,33.333333,1.0,0.999961,0.999954,71.57311
91,3552,50.608731,85.141754,86.705577,85.916549,68.968708,37.375472,30.263158,11.111111,0.999973,0.999985,0.999998,69.863055
91,3553,49.519201,85.06996,85.529345,85.299033,65.93594,40.393162,31.578947,11.111111,0.999977,0.999985,0.999999,69.221184
91,3554,53.236044,86.639738,86.948872,86.794025,70.996667,38.666667,36.842105,11.111111,0.999977,0.999985,0.999999,71.182225
91,3555,45.550713,83.827889,84.664023,84.243882,72.443632,40.393162,31.578947,21.052632,0.999986,0.999985,1.0,69.259316
